,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
7516,Nanma Niranjavan Sreenivasan,Malayalam,6.3,2 h 8 min,1990,NR,"Nanma Niranjavan Sreenivasan is a 1990 Indian Malayalam film, directed by Viji Thampi and produced by Kalliyoor Sasi. The film stars Jayaram, Urvashi, Mukesh and Ranjini in lead roles. The film had musical score by Johnson."
7517,Naayak,Telugu,5.5,2 h 39 min,2013,18+,"Cherry Is Accused Of A Murder But Is Saved In The Nick Of Time As In A Sudden Turn Of Events, The Real Killer And Cherry's Look-Alike, Is Caught. When Cherry Hears His Story, He Decides To Help."
7518,Premi,Bengali,7.2,2 h 43 min,2017,13+,"A love triangle starring Jeet, Jisshu, and Chandana, in which two close friends who fall in love with the same girl."
7519,Chirutha,Telugu,5.3,2 h 30 min,2007,13+,"Charan (Ram Charan Teja) has a bad childhood as his father was murdered in front of his eyes. And he had to own somebody else's mistake and go to jail to save his mother. When he returns back, he realizes that his mother is dead. Then he is employed as a tour guide in Bangkok. Sanjana (Neha Sharma) - the daughter of a rich man - is on vacation to Bangkok along with her friends."
7520,Pallavan,Tamil,None,2 h 19 min,2003,All,"Manoj's younger brother Shankar is in love with Rathi, but he is too timid to reveal his feelings to her. Unknown to him, Rathi loves him too but is waiting for him to make the first move. Meanwhile, Manoj too falls in love with Rathi at first sight. When Shankar finally realises the truth, he becomes ready to sacrifice his love for his brother."
7521,Mother of the Bride,English,6.4,1 h 33 min,1993,13+,"Margret Becker Hix deals with the upcoming wedding of her daughter, another daughter's romance with a motorcycle enthusiast, and a surprise appearance by her ex-husband."
7522,Uttar Meleni,Bengali,None,2 h 4 min,2017,13+,A Bengali film about a modern woman’s life-long struggles. Does society view a self-reliant woman in a positive light?
7523,The Conjuring (2013),English,7.5,1 h 51 min,2013,18+,"Based on a true story, ghost hunters Lorraine and Ed Warren help a family terrorized by a dark spirit."
7524,Othaiyadi Veeran,Tamil,None,2 h 5 min,2011,NR,"Othaiyadi Veeran 2011 Indian Tamil Movie directed by Sriselvam. Produced by. Aadhaas Cine Arts Presents Star Cast Niranjan, Srilakshmi, Sangeetha, Vinoth, Chandru, Raja, Devid, Jayaraj, Malasri lead roles. The film had music by Anbarasu."
7525,Ramarajyamlo Bheermaraju,Telugu,5.6,2 h 27 min,1983,NR,"Ramarajyamlo Bheermaraju is a 1983 Indian Telugu film, directed by A. Kodandarami Reddy and produced by Midde Rama Rao. The film stars Sridevi, Krishna and Rajendra Prasad in lead roles. Music of the film was composed by Chakravarthy."
7526,Bheemaa,Tamil,5.7,2 h 40 min,2008,18+,"The story is all about the tug of war between two underworld gangs trying to outsmart each other. Raghuvaran's group is bigger and more powerful, while Prakashraj's group is struggling to gain strength. Vikram's entry adds new life to Prakashraj's gang. The gangs are targeted by the new police commissioner (Ashish Vidyarthi) and the three pronged hunting begins."
7527,Phobia,Hindi,6.9,1 h 51 min,2016,NR,"Mehak is a talented young artist who, after surviving a traumatic attack, develops severe agoraphobia. She is terrified of the outside world. Her friend Shaan believes a new setting might help her heal, and moves her into a recently vacated apartment. Between the strange behavior of the neighbors and the mysterious disappearance of the apartment's former tenant, Mehak begins to fear that her ..."
7528,Evadu Thakkuva Kadu,Telugu,7.5,1 h 59 min,2019,13+,"Evadu Takkuva Kadhu is about four friends (orphans at that) who try to create an identity for themselves, their romance and their fight against a big shot who wants to squish them beneath his feet because their action inadvertently has resulted in a loss of face for him."
7529,Badrinath Ki Dulhania,Hindi,6.1,2 h 18 min,2017,13+,"Badrinath Ki Dulhania is a story of Badrinath Bansal from Jhansi and Vaidehi Trivedi from Kota and what happens when the two of them meet. Even though they both belong to small towns, their mindset about gender roles in society and about life in general are diametrically opposite. This leads to a clash of ideologies, despite both of them recognizing the goodness in each other."
7530,Doosukeltha,Telugu,6.5,2 h 41 min,2013,13+,"A small bet by Chinna (Vishnu) during his childhood results in his family escaping from a village. Eventually, he grows to become a street smart and intelligent man with a kind heart. Due to his act, the life of Alekhya (Lavanya) also gets disturbed, and her family immediately disowns her. She grows to become a doctor, and a chance incident gets her in touch with Chinna."
7531,Ankhiyon Ke Jharokhon Se,Hindi,7.1,2 h 14 min,1978,All,Arun and Lily are elated when their parents agree to get them married. Things take a turn when Lily is diagnosed with blood cancer.
7532,Samara,Kannada,None,2 h 24 min,1995,NR,A group of like-minded individuals decided to wipe out corruption from the society. They try to prove that good elements in a society can win against evil forces.
7533,Abhijan,Bengali,8,2 h 8 min,None,All,"The story revolves around a taxi driver, Narsingh, who attempts to reinvent his life by visiting his native place, but instead gets embroiled in Sukharam's smuggling and human trafficking business."
7534,Dus Kahaniyaan,Hindi,None,1 h 54 min,2007,NR,"After five years of being married to wealthy executive Rahul Sarin, Pooja has a secret and intimate affair with Lt. Col. Aditya Singh every Thursday, on the pretext of visiting an ailing aunt, not realizing that Rahul is aware of this; Kabir and Kaamna get high on the highway - and encounter thugs; Mini is accused of being intimate with a male just before her marriage; A husband questions hi ..."
7535,The Expendables 3,Tamil,6.1,2 h 1 min,2014,16+,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
7536,Dadu No.1,Bengali,None,2 h 20 min,2017,13+,"A Bengali film about a businessman helping a widow, Mamta. What does she do when he asks her for a life-altering favour?"
7537,Adrishya,Hindi,3.4,1 h 35 min,2018,13+,"Adrishya is an emotional thriller which explores the intricacies of parenting a child. A cheery family weekend at their summer home turns into a nightmare, as they battle supernatural forces to stay alive through the weekend. The riveting twists and turns in the story will keep you on edge, with thrill and suspense. This cult film has won numerous awards at international film circuits."
7538,Band Baaja Babuchak,Gujarati,None,2 h 5 min,2017,NR,"The plot of this movie starts with an advertorial for an arranged marriage. They come across a girl named Simran who is an NRI and is a daughter of a multi-millionaire who is in search of a perfect groom. So, Bako, Pako, Chako, and Bahilu set out to impress her and become rich overnight. But will their plan succeed? Who will Simran choose?"
7539,Devara Gudi,Kannada,8.2,2 h 45 min,1975,NR,"Devara Gudi is a 1975 Indian Kannada language drama film starring Vishnuvardhan and Bharathi in the lead roles along with Leelavathi, Manjula and Rajesh. Music of the film was composed by Rajan-Nagendra."
7540,Just Gammat,Marathi,7,1 h 53 mins,2015,13+,The Plot revolves around two husbands planning to kill their wives which results in a huge comedy of errors.
7541,2.0 (Telugu),Telugu,6.3,2 h 20 min,2018,13+,Dr Vaseegaran (Rajinikanth) and his android assistant Nila (Amy Jackson) are called in for help after mobiles start mysteriously flying out of the hands of people in Chennai. Vaseegaran summons his trusted robot Chitti (Rajinikanth) to ward off the bird-shaped supernatural powers of Pakshirajan (Akshay Kumar).
7542,Maala yogam,Malayalam,6.2,2 h 10 min,1990,All,"Jayaram and Mukesh play two friends and the movie shows the burden of carrying their family , and marriage for their sisters coming from a poor family. The Hardships and struggle of being poor."
7543,Chal Love Kar,Marathi,None,2 h 11 mins,2009,All,"Ram (Sanjay Narvekar) and Shyam (Bharat Jadhav), two brothers, refuse to live an orderly lifestyle. In order to make them realize their responsibilities, their father decides to get them married."
7544,Ukku Pidugu,Telugu,None,2 h 6 min,None,NR,"Ukku Pidugu is a 1969 Indian Telugu movie directed by K.Subbarama Dasu and produced by B.Veera Raju. The film stars Suresh, Kantha Rao, Rajnal in lead roles. Music of the film was composed by K. Chakravarthy."
7545,Bhindi Baazaar Inc.,Hindi,6.1,1 h 50 min,2011,18+,Bhindi Baazaar Inc. throws a light on criminals and their underground world in Mumbai. It shows politics and gangwar taking place between the infamous by-lanes where crime is the way to live a life or end a life. Bhindi Baazaar Inc. presents how a power struggles start in a gang soon after the sudden downfall of their leader. Watch the full movie.
7546,Carrot Cake,Bengali,None,7min,2020,13+,Carrot Cake
7547,Andha Oru Nimidam,Tamil,6.9,2 h 24 min,1985,NR,"Andha Oru Nimidam is a 1985 Indian Tamil film, directed by Major Sundarrajan and produced by Pala. Karuppiah and S. Sampath. The film stars Kamal Haasan,Jayamalini,Urvashi, Thengai Srinivasan and Pandari Bai in lead roles. Music of the film was composed by Ilaiyaraaja."
7548,Harry Potter and the Deathly Hallows: Part 1,Hindi,7.7,2 h 26 min,2010,13+,"In the first part of the seventh and final adventure, Harry, Ron and Hermione set out on their perilous mission to track down and destroy the secret to Voldemort's immortality and destruction."
7549,The Forbidden Kingdom,Hindi,6.6,1 h 40 min,2008,13+,"A discovery made by a kung fu obsessed American teen sends him on an adventure to China, where he joins up with a band of martial arts warriors in order to free the imprisoned Monkey King."
7550,Venkatapuram,Telugu,8,1 h 43 min,2017,13+,"Pizza delivery boy Anand (Rahul Haridas) and college student Chaitra (Mahima Makwana) become victims of the dreaded crime that takes place at Bheemli Beach, Vizag. Policeman Durga Prasad (Ajay Ghosh) of Venkatapuram police station and special officer Ajay Varma (Ajay) investigate two different cases to unravel the truth. The unfolding of bitter and horrific truth makes up the rest of the movie."
7551,Baalida Mane,Kannada,None,2 h 9 min,1996,NR,"Baalida Mane is an Indian Kannada film directed by G K Mudduraj and produced by C Ramamurthy and M Mahadevu. The film stars Ambarish, Shashikumar and Niveditha Jain in the lead roles. Music of the film was composed by Rajan-Nagendra."
7552,Benarasi,Bengali,None,1 h 59 min,None,NR,"Ratan sees a courtesan on the roads of Kolkata and identifies her to be Sona, his long lost childhood lover who was kidnapped from the ghats of Benaras and could never be found again. He goes over to her place and finds out that she was indeed, Sona. However after being kidnapped her life had changed. She was forced into a life which she never wanted. Ratan urges her to come along with him, ..."
7553,Edo Vundi,Telugu,None,1 h 35 min,2005,NR,"Edo Vundi is a 2005 Indian Telugu film, directed by Ram Suri and Produced by CH. Venkateswarlu and N.S. Raju. The film stars Vishal, Radhika and Ali in lead roles. The music of the film was composed by T.V.S Raju."
7554,Classmates,Marathi,7.4,2 h 34 mins,2015,7+,"Satya (Ankush Choudhary), the leader of a party in his college, falls in love with Aditi (Sonalee Kulkarni), the niece of a politician. However, things turn complicated when Aditi stands against Satya in the elections of their college."
7555,The Expendables 3,English,6.1,2 h 1 min,2014,16+,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
7556,Nani's Gang Leader,Telugu,7.6,2 h 35 min,2019,13+,Gang Leader follows the story of an all-women gang led by Nani who is a crime fiction writer with a pen name 'Pencil'.
